session_id,provider_group,source_operator,name,activity_type,activity_raw,is_free,price_gbp,location_name,postcode,borough,latitude,longitude,start_time,end_time,days_of_week,session_count,is_online,url
SLL_Southwark_1397,London Venue,SLL_Southwark,Gymfluence – Supervised,Gym / Fitness,Gymfluence | Gymfluence Canada Water,False,4.0,Canada Water Leisure Cent,,Southwark,,,13:00,14:00,Thursday,1,False,
SLL_Southwark_1398,London Venue,SLL_Southwark,Lane Swim - Slow,Swimming,Swimming | Swimming Castle,True,0.0,The Castle Centre,SE1 6FG,Southwark,51.4935,-0.1024,06:30,07:25,Thursday,1,False,https://southwarkleisure.co.uk/centres/the-castle-centre/
SLL_Southwark_1399,London Venue,SLL_Southwark,Gymfluence – Supervised,Gym / Fitness,Gymfluence | Gymfluence Peckham,False,9.7,Peckham Pulse Leisure Centre,SE15 5QN,Southwark,51.474074,-0.070885,15:00,16:00,Friday,1,False,https://southwarkleisure.co.uk/centres/peckham-pulse-leisure-centre/
SLL_Southwark_1400,London Venue,SLL_Southwark,Soft Play Session 0-8yr,Other / Unspecified,Soft | Soft Play Peckham,False,3.6,Peckham Pulse Leisure Centre,SE15 5QN,Southwark,51.474074,-0.070885,16:00,17:00,"Monday, Tuesday, Wednesday, Thursday, Saturday",1,False,https://southwarkleisure.co.uk/centres/peckham-pulse-leisure-centre/
SLL_Southwark_1401,London Venue,SLL_Southwark,Gymfluence – Supervised,Gym / Fitness,Gymfluence | Gymfluence Surrey Docks,False,4.0,Surrey Docks Fitness & Water Sports,SE16 7SX,Southwark,51.493796,-0.039449,16:00,17:00,Thursday,1,False,https://southwarkleisure.co.uk/centres/surrey-docks-fitness-and-watersports-centre/
SLL_Southwark_1402,London Venue,SLL_Southwark,Gymfluence – Supervised,Gym / Fitness,Gymfluence | Gymfluence Castle,False,4.0,The Castle Centre,SE1 6FG,Southwark,51.4935,-0.1024,19:00,20:00,Monday,1,False,https://southwarkleisure.co.uk/centres/the-castle-centre/
SLL_Southwark_1403,London Venue,SLL_Southwark,Lane Swim - Fast,Swimming,Swimming | Swimming Canada Water,True,0.0,Canada Water Leisure Cent,,Southwark,,,07:00,07:55,Sunday,1,False,
SLL_Southwark_1404,London Venue,SLL_Southwark,Gymfluence – Supervised,Gym / Fitness,Gymfluence | Gymfluence Canada Water,False,4.0,Canada Water Leisure Cent,,Southwark,,,07:00,08:00,Saturday,1,False,
SLL_Southwark_1405,London Venue,SLL_Southwark,Gymfluence – Supervised,Gym / Fitness,Gymfluence | Gymfluence Camberwell,False,4.0,Camberwell Leisure Centre,SE5 8TS,Southwark,51.47422,-0.09051,15:00,16:00,Wednesday,1,False,https://southwarkleisure.co.uk/centres/camberwell-leisure-centre/
SLL_Southwark_1406,London Venue,SLL_Southwark,Adult Swim Bubbles,Swimming,Swimming | Swimming Peckham,True,0.0,Peckham Pulse Leisure Centre,SE15 5QN,Southwark,51.474074,-0.070885,19:00,20:00,Friday,1,False,https://southwarkleisure.co.uk/centres/peckham-pulse-leisure-centre/
SLL_Southwark_1407,London Venue,SLL_Southwark,Lane Swim - Fast,Swimming,Swimming | Swimming Dulwich,False,2.5,Dulwich Leisure Centre,SE22 9HB,Southwark,51.460601,-0.071419,06:30,07:30,Wednesday,1,False,https://southwarkleisure.co.uk/centres/dulwich-leisure-centre/
SLL_Southwark_1408,London Venue,SLL_Southwark,Gymfluence – Supervised,Gym / Fitness,Gymfluence | Gymfluence Castle,False,9.7,The Castle Centre,SE1 6FG,Southwark,51.4935,-0.1024,16:00,17:00,Saturday,1,False,https://southwarkleisure.co.uk/centres/the-castle-centre/
SLL_Southwark_1409,London Venue,SLL_Southwark,Track Visit,Walking / Running,Athletics | Athletics Track Casual,False,1.2000000000000002,Southwark Athletics Track,SE16 2PE,Southwark,51.4924,-0.0512,08:00,09:00,"Monday, Tuesday, Wednesday, Thursday, Friday",1,False,https://southwarkleisure.co.uk/centres/southwark-park-sports-and-athletics-centre/
SLL_Southwark_1410,London Venue,SLL_Southwark,Public Swim,Swimming,Swimming | Swimming Canada Water,True,0.0,Canada Water Leisure Cent,,Southwark,,,12:00,13:00,Sunday,1,False,
SLL_Southwark_1411,London Venue,SLL_Southwark,Gymfluence – Supervised,Gym / Fitness,Gymfluence | Gymfluence Surrey Docks,False,4.0,Surrey Docks Fitness & Water Sports,SE16 7SX,Southwark,51.493796,-0.039449,16:00,17:00,Saturday,1,False,https://southwarkleisure.co.uk/centres/surrey-docks-fitness-and-watersports-centre/
SLL_Southwark_1412,London Venue,SLL_Southwark,Gymfluence  - Instructor,Gym / Fitness,Gymfluence | Gymfluence Canada Water,False,4.0,Canada Water Leisure Cent,,Southwark,,,16:30,17:30,Monday,1,False,
SLL_Southwark_1413,London Venue,SLL_Southwark,Recreational Watersports,Other / Unspecified,Recreational | Recreational Watersports,False,34.800000000000004,Surrey Docks Fitness & Water Sports,SE16 7SX,Southwark,51.493796,-0.039449,17:00,20:00,Wednesday,1,False,https://southwarkleisure.co.uk/centres/surrey-docks-fitness-and-watersports-centre/
SLL_Southwark_1414,London Venue,SLL_Southwark,Gymfluence – Supervised,Gym / Fitness,Gymfluence | Gymfluence Surrey Docks,False,4.0,Surrey Docks Fitness & Water Sports,SE16 7SX,Southwark,51.493796,-0.039449,06:30,07:00,Tuesday,1,False,https://southwarkleisure.co.uk/centres/surrey-docks-fitness-and-watersports-centre/
SLL_Southwark_1415,London Venue,SLL_Southwark,Lane Swim - Slow,Swimming,Swimming | Swimming Castle,True,0.0,The Castle Centre,SE1 6FG,Southwark,51.4935,-0.1024,07:30,08:55,Thursday,1,False,https://southwarkleisure.co.uk/centres/the-castle-centre/
SLL_Southwark_1416,London Venue,SLL_Southwark,Gymfluence – Supervised,Gym / Fitness,Gymfluence | Gymfluence Canada Water,False,4.0,Canada Water Leisure Cent,,Southwark,,,16:00,17:00,Thursday,1,False,
SLL_Southwark_1417,London Venue,SLL_Southwark,Gymfluence – Supervised,Gym / Fitness,Gymfluence | Gymfluence Canada Water,False,4.0,Canada Water Leisure Cent,,Southwark,,,07:00,08:00,Wednesday,1,False,
SLL_Southwark_1418,London Venue,SLL_Southwark,Gymfluence – Supervised,Gym / Fitness,Gymfluence | Gymfluence Castle,False,9.7,The Castle Centre,SE1 6FG,Southwark,51.4935,-0.1024,15:00,16:00,Sunday,1,False,https://southwarkleisure.co.uk/centres/the-castle-centre/
SLL_Southwark_1419,London Venue,SLL_Southwark,Track Visit,Walking / Running,Athletics | Athletics Track Casual,False,1.2000000000000002,Southwark Athletics Track,SE16 2PE,Southwark,51.4924,-0.0512,11:00,12:00,"Monday, Tuesday, Wednesday, Thursday",1,False,https://southwarkleisure.co.uk/centres/southwark-park-sports-and-athletics-centre/
SLL_Southwark_1420,London Venue,SLL_Southwark,Women Only Swim,Swimming,Swimming | Swimming Canada Water,True,0.0,Canada Water Leisure Cent,,Southwark,,,15:00,16:00,Wednesday,1,False,
SLL_Southwark_1421,London Venue,SLL_Southwark,Lane Swim - Slow,Swimming,Swimming | Swimming Peckham,False,2.5,Peckham Pulse Leisure Centre,SE15 5QN,Southwark,51.474074,-0.070885,21:00,21:45,,1,False,https://southwarkleisure.co.uk/centres/peckham-pulse-leisure-centre/
SLL_Southwark_1422,London Venue,SLL_Southwark,Gymfluence – Supervised,Gym / Fitness,Gymfluence | Gymfluence Canada Water,False,4.0,Canada Water Leisure Cent,,Southwark,,,13:00,14:00,Tuesday,1,False,
SLL_Southwark_1423,London Venue,SLL_Southwark,Gymfluence – Supervised,Gym / Fitness,Gymfluence | Gymfluence Canada Water,False,4.0,Canada Water Leisure Cent,,Southwark,,,15:00,16:00,Monday,1,False,
