session_id,provider_group,source_operator,name,activity_type,activity_raw,is_free,price_gbp,location_name,postcode,borough,latitude,longitude,start_time,end_time,days_of_week,session_count,is_online,url
V_00375,Everyone Active,Everyone Active,Reform Fitcore Tue 18:00,Group Exercise,Group Exercise,False,18.0,Abbey Leisure Centre,IG11 7LX,Barking and Dagenham,51.534997,0.0760014,17:00,17:45,Tuesday,2,False,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1802CRF18000325&Culture=en-GB
V_00376,Everyone Active,Everyone Active,Reform Fitcore Tue 19:00,Group Exercise,Group Exercise,False,18.0,Abbey Leisure Centre,IG11 7LX,Barking and Dagenham,51.534997,0.0760014,18:00,18:45,Tuesday,2,False,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1802CRF19000325&Culture=en-GB
V_00377,Everyone Active,Everyone Active,Reform Fitcore Wed 06:45,Group Exercise,Group Exercise,False,18.0,Abbey Leisure Centre,IG11 7LX,Barking and Dagenham,51.534997,0.0760014,05:45,06:30,Wednesday,3,False,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1803CRF06450325&Culture=en-GB
V_00378,Everyone Active,Everyone Active,Reform Fitcore Wed 09:30,Group Exercise,Group Exercise,False,18.0,Abbey Leisure Centre,IG11 7LX,Barking and Dagenham,51.534997,0.0760014,08:30,09:15,Wednesday,3,False,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1803CRF09300325&Culture=en-GB
V_00379,Everyone Active,Everyone Active,Reform Fitcore Wed 18:30,Group Exercise,Group Exercise,False,18.0,Abbey Leisure Centre,IG11 7LX,Barking and Dagenham,51.534997,0.0760014,17:30,18:15,Wednesday,2,False,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1805CRF17010125&Culture=en-GB
V_00380,Everyone Active,Everyone Active,Reform Fitcore Wed 20:00,Group Exercise,Group Exercise,False,18.0,Abbey Leisure Centre,IG11 7LX,Barking and Dagenham,51.534997,0.0760014,19:00,19:45,Wednesday,2,False,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1803CRF20000225&Culture=en-GB
V_00381,Everyone Active,Everyone Active,Reform Ignite Mon 18:15,Group Exercise,Group Exercise,False,18.0,Abbey Leisure Centre,IG11 7LX,Barking and Dagenham,51.534997,0.0760014,17:15,18:00,Monday,2,False,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1801CRI18150226&Culture=en-GB
V_00382,Everyone Active,Everyone Active,Reform Ignite Thu 07:00,Group Exercise,Group Exercise,False,18.0,Abbey Leisure Centre,IG11 7LX,Barking and Dagenham,51.534997,0.0760014,06:00,06:45,Thursday,2,False,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1804CRI07000226&Culture=en-GB
V_00383,Everyone Active,Everyone Active,Reform Ignite Thu 19:30,Group Exercise,Group Exercise,False,18.0,Abbey Leisure Centre,IG11 7LX,Barking and Dagenham,51.534997,0.0760014,18:30,19:15,Thursday,2,False,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1804CRI19300226&Culture=en-GB
V_00384,Everyone Active,Everyone Active,Reform Ignite Tue 07:00,Group Exercise,Group Exercise,False,18.0,Abbey Leisure Centre,IG11 7LX,Barking and Dagenham,51.534997,0.0760014,06:00,06:45,Tuesday,2,False,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1802CRI07000226&Culture=en-GB
V_00385,Everyone Active,Everyone Active,Reform Ignite Wed 11:30,Group Exercise,Group Exercise,False,18.0,Abbey Leisure Centre,IG11 7LX,Barking and Dagenham,51.534997,0.0760014,10:30,11:15,Wednesday,3,False,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1803CRI11300226&Culture=en-GB
V_00386,Everyone Active,Everyone Active,Reform Intro Fri 09:30,Group Exercise,Group Exercise,False,18.0,Abbey Leisure Centre,IG11 7LX,Barking and Dagenham,51.534997,0.0760014,08:30,09:15,Friday,2,False,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1805CRC09300225&Culture=en-GB
V_00387,Everyone Active,Everyone Active,Reform Intro Sat 09:30,Group Exercise,Group Exercise,False,18.0,Abbey Leisure Centre,IG11 7LX,Barking and Dagenham,51.534997,0.0760014,08:30,09:15,Saturday,2,False,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1806CRC09300226&Culture=en-GB
