session_id,provider_group,source_operator,name,activity_type,activity_raw,borough,location_name,street_address,postcode,latitude,longitude,start_time,end_time,days_of_week,is_free,price_gbp,session_count,is_online,url,first_session_id,source_file
V_00293,Everyone Active,Everyone Active,Public Swimming Fri 07:30,Swimming,Swimming,Barking and Dagenham,Abbey Leisure Centre,Bobby Moore Way,IG11 7LX,51.534997,0.0760014,06:30,08:00,Friday,False,4.05,2,,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1805WS4AM073075&Culture=en-GB,EA_00000000001535407883,Person2_VenueActivity_London.csv
V_00294,Everyone Active,Everyone Active,Public Swimming Fri 09:00,Swimming,Swimming,Barking and Dagenham,Abbey Leisure Centre,Bobby Moore Way,IG11 7LX,51.534997,0.0760014,08:00,09:00,Friday,False,4.05,2,,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1805WS4AM090075&Culture=en-GB,EA_00000000001535407934,Person2_VenueActivity_London.csv
V_00295,Everyone Active,Everyone Active,Public Swimming Fri 10:00,Swimming,Swimming,Barking and Dagenham,Abbey Leisure Centre,Bobby Moore Way,IG11 7LX,51.534997,0.0760014,09:00,10:00,Friday,False,4.05,2,,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1805WS4AM100075&Culture=en-GB,EA_00000000001535407987,Person2_VenueActivity_London.csv
V_00296,Everyone Active,Everyone Active,Public Swimming Fri 13:00,Swimming,Swimming,Barking and Dagenham,Abbey Leisure Centre,Bobby Moore Way,IG11 7LX,51.534997,0.0760014,12:00,13:00,Friday,False,4.05,2,,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1805WS4AM130075&Culture=en-GB,EA_00000000001535408039,Person2_VenueActivity_London.csv
V_00297,Everyone Active,Everyone Active,Public Swimming Fri 14:00,Swimming,Swimming,Barking and Dagenham,Abbey Leisure Centre,Bobby Moore Way,IG11 7LX,51.534997,0.0760014,13:00,14:00,Friday,False,4.05,2,,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1805WS4AM140075&Culture=en-GB,EA_00000000001535408091,Person2_VenueActivity_London.csv
V_00298,Everyone Active,Everyone Active,Public Swimming Fri 15:00,Swimming,Swimming,Barking and Dagenham,Abbey Leisure Centre,Bobby Moore Way,IG11 7LX,51.534997,0.0760014,14:00,15:00,Friday,False,4.05,2,,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1805WS4AM150075&Culture=en-GB,EA_00000000001535408143,Person2_VenueActivity_London.csv
V_00299,Everyone Active,Everyone Active,Public Swimming Fri 17:00,Swimming,Swimming,Barking and Dagenham,Abbey Leisure Centre,Bobby Moore Way,IG11 7LX,51.534997,0.0760014,16:00,17:00,Friday,False,4.05,2,,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1805WS4AM170075&Culture=en-GB,EA_00000000001535408195,Person2_VenueActivity_London.csv
V_00300,Everyone Active,Everyone Active,Public Swimming Fri 18:00,Swimming,Swimming,Barking and Dagenham,Abbey Leisure Centre,Bobby Moore Way,IG11 7LX,51.534997,0.0760014,17:00,18:00,Friday,False,4.05,2,,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1805WS4AM180075&Culture=en-GB,EA_00000000001535408247,Person2_VenueActivity_London.csv
V_00301,Everyone Active,Everyone Active,Public Swimming Mon 07:30,Swimming,Swimming,Barking and Dagenham,Abbey Leisure Centre,Bobby Moore Way,IG11 7LX,51.534997,0.0760014,06:30,08:00,Monday,False,4.05,2,,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1801WS4AM073075&Culture=en-GB,EA_00000000000345756652,Person2_VenueActivity_London.csv
V_00302,Everyone Active,Everyone Active,Public Swimming Mon 09:00,Swimming,Swimming,Barking and Dagenham,Abbey Leisure Centre,Bobby Moore Way,IG11 7LX,51.534997,0.0760014,08:00,09:00,Monday,False,4.05,2,,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1801WS4AM090075&Culture=en-GB,EA_00000000000345757593,Person2_VenueActivity_London.csv
V_00303,Everyone Active,Everyone Active,Public Swimming Mon 10:00,Swimming,Swimming,Barking and Dagenham,Abbey Leisure Centre,Bobby Moore Way,IG11 7LX,51.534997,0.0760014,09:00,10:00,Monday,False,4.05,2,,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1801WS4AM100075&Culture=en-GB,EA_00000000000345758137,Person2_VenueActivity_London.csv
V_00304,Everyone Active,Everyone Active,Public Swimming Mon 10:00,Swimming,Swimming,Barking and Dagenham,Abbey Leisure Centre,Bobby Moore Way,IG11 7LX,51.534997,0.0760014,09:00,10:00,Tuesday,False,4.05,2,,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1802WS4AM100026&Culture=en-GB,EA_00000000001800578520,Person2_VenueActivity_London.csv
V_00305,Everyone Active,Everyone Active,Public Swimming Mon 11:00,Swimming,Swimming,Barking and Dagenham,Abbey Leisure Centre,Bobby Moore Way,IG11 7LX,51.534997,0.0760014,10:00,11:00,Monday,False,4.05,2,,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1801WS4AM110075&Culture=en-GB,EA_00000000000345758551,Person2_VenueActivity_London.csv
V_00306,Everyone Active,Everyone Active,Public Swimming Mon 13:00,Swimming,Swimming,Barking and Dagenham,Abbey Leisure Centre,Bobby Moore Way,IG11 7LX,51.534997,0.0760014,12:00,13:00,Monday,False,4.05,2,,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1801WS4AM130075&Culture=en-GB,EA_00000000000345759087,Person2_VenueActivity_London.csv
V_00307,Everyone Active,Everyone Active,Public Swimming Mon 14:00,Swimming,Swimming,Barking and Dagenham,Abbey Leisure Centre,Bobby Moore Way,IG11 7LX,51.534997,0.0760014,13:00,14:00,Monday,False,4.05,2,,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1801WS4AM140075&Culture=en-GB,EA_00000000000345759597,Person2_VenueActivity_London.csv
V_00308,Everyone Active,Everyone Active,Public Swimming Mon 15:00,Swimming,Swimming,Barking and Dagenham,Abbey Leisure Centre,Bobby Moore Way,IG11 7LX,51.534997,0.0760014,14:00,15:00,Monday,False,4.05,2,,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1801WS4AM150075&Culture=en-GB,EA_00000000000345760059,Person2_VenueActivity_London.csv
V_00309,Everyone Active,Everyone Active,Public Swimming Mon 16:00,Swimming,Swimming,Barking and Dagenham,Abbey Leisure Centre,Bobby Moore Way,IG11 7LX,51.534997,0.0760014,15:00,16:00,Monday,False,4.05,2,,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1801WS4AM160075&Culture=en-GB,EA_00000000000345760498,Person2_VenueActivity_London.csv
V_00310,Everyone Active,Everyone Active,Public Swimming Mon 17:00,Swimming,Swimming,Barking and Dagenham,Abbey Leisure Centre,Bobby Moore Way,IG11 7LX,51.534997,0.0760014,16:00,17:00,Monday,False,4.05,2,,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1801WS4AM170075&Culture=en-GB,EA_00000000000345761240,Person2_VenueActivity_London.csv
V_00311,Everyone Active,Everyone Active,Public Swimming Mon 18:00,Swimming,Swimming,Barking and Dagenham,Abbey Leisure Centre,Bobby Moore Way,IG11 7LX,51.534997,0.0760014,17:00,18:00,Monday,False,4.05,2,,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1801WS4AM180075&Culture=en-GB,EA_00000000000345762159,Person2_VenueActivity_London.csv
V_00312,Everyone Active,Everyone Active,Public Swimming Sat 09:00,Swimming,Swimming,Barking and Dagenham,Abbey Leisure Centre,Bobby Moore Way,IG11 7LX,51.534997,0.0760014,08:00,09:00,Saturday,False,4.05,2,,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1806WS4AM090075&Culture=en-GB,EA_00000000001535407155,Person2_VenueActivity_London.csv
V_00313,Everyone Active,Everyone Active,Public Swimming Sat 10:00,Swimming,Swimming,Barking and Dagenham,Abbey Leisure Centre,Bobby Moore Way,IG11 7LX,51.534997,0.0760014,09:00,10:00,Saturday,False,4.05,2,,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1806WS4AM100075&Culture=en-GB,EA_00000000001535407207,Person2_VenueActivity_London.csv
V_00314,Everyone Active,Everyone Active,Public Swimming Sat 11:00,Swimming,Swimming,Barking and Dagenham,Abbey Leisure Centre,Bobby Moore Way,IG11 7LX,51.534997,0.0760014,10:00,11:00,Saturday,False,4.05,2,,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1806WS4AM110075&Culture=en-GB,EA_00000000001535407259,Person2_VenueActivity_London.csv
