session_id,provider_group,source_operator,name,activity_type,activity_raw,is_free,price_gbp,location_name,postcode,borough,latitude,longitude,start_time,end_time,days_of_week,session_count,is_online,url
TH_39,Be Well - Tower Hamlets,Be Well - London Borough of Tower Hamlets,Free Women Only Swimming,Swimming,Free Swimming,False,7.9, Poplar Baths Leisure Centre and Gym,E14 0ED,Tower Hamlets,51.511092905004745,-0.0139868817320598,15:30,16:15,Sunday,4,False,https://be-well.org.uk/centres/poplar-baths-leisure-centre-and-gym/
TH_40,Be Well - Tower Hamlets,Be Well - London Borough of Tower Hamlets,Free Women Only Swimming,Swimming,Free Swimming,False,7.9,Tiller Leisure Centre,E14 8PX,Tower Hamlets,51.496328266681,-0.0218796717363112,19:00,20:00,Thursday,1,False,https://be-well.org.uk/centres/tiller-leisure-centre/
TH_41,Be Well - Tower Hamlets,Be Well - London Borough of Tower Hamlets,Free Women Only Swimming,Swimming,Women Only Sessions,False,7.9,Mile End Park Leisure Centre,E3 4HL,Tower Hamlets,51.51953920090171,-0.0322499306855374,12:00,12:50,Tuesday,6,False,https://be-well.org.uk/centres/mile-end-leisure-centre-and-stadium/
TH_42,Be Well - Tower Hamlets,Be Well - London Borough of Tower Hamlets,Free Women Only Swimming,Swimming,York Hall Women Only,False,25.0, York Hall Leisure Centre,E2 9PJ,Tower Hamlets,51.52995217963927,-0.0558973331840584,12:30,13:30,Monday,3,False,https://be-well.org.uk/centres/york-hall-leisure-centre/
TH_43,Be Well - Tower Hamlets,Be Well - London Borough of Tower Hamlets,Group Cycle,Cycling,Mile End Group Ex,False,16.65,Mile End Park Leisure Centre,E3 4HL,Tower Hamlets,51.51953920090171,-0.0322499306855374,20:00,20:45,Tuesday,7,False,https://be-well.org.uk/centres/mile-end-leisure-centre-and-stadium/
TH_44,Be Well - Tower Hamlets,Be Well - London Borough of Tower Hamlets,Group Cycle,Cycling,Whitechapel Group Ex,False,16.65,Whitechapel Sports Centre,E1 5BA,Tower Hamlets,51.519950646840734,-0.0614251756687532,19:00,19:45,Tuesday,1,False,https://be-well.org.uk/centres/whitechapel-sports-centre/
TH_45,Be Well - Tower Hamlets,Be Well - London Borough of Tower Hamlets,Group Cycling,Cycling,Whitechapel Group Ex,False,16.65,Whitechapel Sports Centre,E1 5BA,Tower Hamlets,51.519950646840734,-0.0614251756687532,12:00,12:45,Friday,2,False,https://be-well.org.uk/centres/whitechapel-sports-centre/
TH_46,Be Well - Tower Hamlets,Be Well - London Borough of Tower Hamlets,Gym Session,Gym / Fitness,John Orwell Gym Session,False,15.0,John Orwell Sports Centre,E1W 2QD,Tower Hamlets,51.50487234184735,-0.0614756998345731,19:30,20:30,"Monday, Tuesday, Wednesday, Thursday, Friday",22,False,https://be-well.org.uk/centres/john-orwell-sports-centre/
TH_47,Be Well - Tower Hamlets,Be Well - London Borough of Tower Hamlets,Gym Session,Gym / Fitness,Mile End Gym Session,False,8.3,Mile End Park Leisure Centre,E3 4HL,Tower Hamlets,51.51953920090171,-0.0322499306855374,18:00,19:00,"Monday, Tuesday, Wednesday, Thursday, Friday",22,False,https://be-well.org.uk/centres/mile-end-leisure-centre-and-stadium/
TH_48,Be Well - Tower Hamlets,Be Well - London Borough of Tower Hamlets,Gym Session,Gym / Fitness,Poplar Baths Gym Session,False,15.0, Poplar Baths Leisure Centre and Gym,E14 0ED,Tower Hamlets,51.511092905004745,-0.0139868817320598,08:30,09:30,"Monday, Tuesday, Wednesday, Thursday, Friday",25,False,https://be-well.org.uk/centres/poplar-baths-leisure-centre-and-gym/
TH_49,Be Well - Tower Hamlets,Be Well - London Borough of Tower Hamlets,Gym Session,Gym / Fitness,Tiller Gym Session,False,15.0,Tiller Leisure Centre,E14 8PX,Tower Hamlets,51.496328266681,-0.0218796717363112,13:30,14:30,"Monday, Tuesday, Wednesday, Thursday, Friday",24,False,https://be-well.org.uk/centres/tiller-leisure-centre/
TH_50,Be Well - Tower Hamlets,Be Well - London Borough of Tower Hamlets,Gym Session,Gym / Fitness,Whitechapel Gym Session,False,15.0,Whitechapel Sports Centre,E1 5BA,Tower Hamlets,51.519950646840734,-0.0614251756687532,15:00,16:00,"Monday, Tuesday, Wednesday, Thursday, Friday",27,False,https://be-well.org.uk/centres/whitechapel-sports-centre/
TH_51,Be Well - Tower Hamlets,Be Well - London Borough of Tower Hamlets,Gym Session - Women Only,Gym / Fitness,Mile End Gym Session,False,15.0,Mile End Park Leisure Centre,E3 4HL,Tower Hamlets,51.51953920090171,-0.0322499306855374,06:00,07:00,"Monday, Tuesday, Wednesday, Thursday, Friday",2,False,https://be-well.org.uk/centres/mile-end-leisure-centre-and-stadium/
TH_52,Be Well - Tower Hamlets,Be Well - London Borough of Tower Hamlets,Gym Session - Women Only,Gym / Fitness,Poplar Women Only Session,False,15.0, Poplar Baths Leisure Centre and Gym,E14 0ED,Tower Hamlets,51.511092905004745,-0.0139868817320598,11:00,12:00,"Monday, Wednesday",12,False,https://be-well.org.uk/centres/poplar-baths-leisure-centre-and-gym/
TH_53,Be Well - Tower Hamlets,Be Well - London Borough of Tower Hamlets,Gym Session - Women Only,Gym / Fitness,Whitechapel Gym Women Onl,False,15.0,Whitechapel Sports Centre,E1 5BA,Tower Hamlets,51.519950646840734,-0.0614251756687532,07:00,08:00,"Monday, Tuesday, Wednesday, Thursday, Friday",19,False,https://be-well.org.uk/centres/whitechapel-sports-centre/
TH_54,Be Well - Tower Hamlets,Be Well - London Borough of Tower Hamlets,Gym Session - Women Only,Gym / Fitness,Women Only Sessions,False,15.0,Mile End Park Leisure Centre,E3 4HL,Tower Hamlets,51.51953920090171,-0.0322499306855374,08:00,09:00,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",16,False,https://be-well.org.uk/centres/mile-end-leisure-centre-and-stadium/
TH_55,Be Well - Tower Hamlets,Be Well - London Borough of Tower Hamlets,Holiday Club 5-7 Years,Other / Unspecified,Holiday Club,False,24.35,Mile End Park Leisure Centre,E3 4HL,Tower Hamlets,51.51953920090171,-0.0322499306855374,09:00,17:00,"Monday, Tuesday, Wednesday, Thursday",1,False,https://be-well.org.uk/centres/mile-end-leisure-centre-and-stadium/
TH_56,Be Well - Tower Hamlets,Be Well - London Borough of Tower Hamlets,Holiday Club 8-15 Years,Other / Unspecified,Holiday Club,False,24.35,Mile End Park Leisure Centre,E3 4HL,Tower Hamlets,51.51953920090171,-0.0322499306855374,09:00,17:00,"Monday, Tuesday, Wednesday, Thursday",1,False,https://be-well.org.uk/centres/mile-end-leisure-centre-and-stadium/
TH_57,Be Well - Tower Hamlets,Be Well - London Borough of Tower Hamlets,Junior Gym Session,Gym / Fitness,John Orwell Gym Session,False,5.55,John Orwell Sports Centre,E1W 2QD,Tower Hamlets,51.50487234184735,-0.0614756998345731,13:00,14:00,Saturday,8,False,https://be-well.org.uk/centres/john-orwell-sports-centre/
TH_58,Be Well - Tower Hamlets,Be Well - London Borough of Tower Hamlets,Junior Gym Session,Gym / Fitness,Mile End Gym Session,False,5.55,Mile End Park Leisure Centre,E3 4HL,Tower Hamlets,51.51953920090171,-0.0322499306855374,15:30,16:00,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",7,False,https://be-well.org.uk/centres/mile-end-leisure-centre-and-stadium/
TH_59,Be Well - Tower Hamlets,Be Well - London Borough of Tower Hamlets,Junior Gym Session,Gym / Fitness,Poplar Baths Gym Session,False,5.55, Poplar Baths Leisure Centre and Gym,E14 0ED,Tower Hamlets,51.511092905004745,-0.0139868817320598,16:30,17:30,"Monday, Tuesday, Wednesday, Thursday, Friday",4,False,https://be-well.org.uk/centres/poplar-baths-leisure-centre-and-gym/
TH_60,Be Well - Tower Hamlets,Be Well - London Borough of Tower Hamlets,Junior Gym Session,Gym / Fitness,Tiller Gym Session,False,5.55,Tiller Leisure Centre,E14 8PX,Tower Hamlets,51.496328266681,-0.0218796717363112,11:00,12:00,"Sunday, Saturday",4,False,https://be-well.org.uk/centres/tiller-leisure-centre/
TH_61,Be Well - Tower Hamlets,Be Well - London Borough of Tower Hamlets,Junior Gym Session,Gym / Fitness,Whitechapel Gym Session,False,5.55,Whitechapel Sports Centre,E1 5BA,Tower Hamlets,51.519950646840734,-0.0614251756687532,11:00,12:00,"Sunday, Saturday",6,False,https://be-well.org.uk/centres/whitechapel-sports-centre/
TH_62,Be Well - Tower Hamlets,Be Well - London Borough of Tower Hamlets,Junior Gym Session,Gym / Fitness,York Hall Gym Session,False,5.3, York Hall Leisure Centre,E2 9PJ,Tower Hamlets,51.52995217963927,-0.0558973331840584,15:30,16:30,"Monday, Tuesday, Wednesday, Thursday, Friday",4,False,https://be-well.org.uk/centres/york-hall-leisure-centre/
